# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.0 Build 156 04/24/2013 SJ Web Edition
# File: C:\Users\DAELN\Downloads\TAVANO\Class_4\1-countInputsAndBrightSequentialLEDs\countInputsAndBrightSequentialLEDs.csv
# Generated on: Wed Apr 17 17:07:46 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
binary_input_vector[9],Input,PIN_D2,1,B1_N0,PIN_D2,,,,,
binary_input_vector[8],Input,PIN_E4,1,B1_N0,PIN_E4,,,,,
binary_input_vector[7],Input,PIN_E3,1,B1_N0,PIN_E3,,,,,
binary_input_vector[6],Input,PIN_H7,1,B1_N0,PIN_H7,,,,,
binary_input_vector[5],Input,PIN_J7,1,B1_N1,PIN_J7,,,,,
binary_input_vector[4],Input,PIN_G5,1,B1_N0,PIN_G5,,,,,
binary_input_vector[3],Input,PIN_G4,1,B1_N0,PIN_G4,,,,,
binary_input_vector[2],Input,PIN_H6,1,B1_N0,PIN_H6,,,,,
binary_input_vector[1],Input,PIN_H5,1,B1_N0,PIN_H5,,,,,
binary_input_vector[0],Input,PIN_J6,1,B1_N0,PIN_J6,,,,,
binary_output_vector[9],Output,PIN_B1,1,B1_N0,PIN_B1,,,,,
binary_output_vector[8],Output,PIN_B2,1,B1_N0,PIN_B2,,,,,
binary_output_vector[7],Output,PIN_C2,1,B1_N0,PIN_C2,,,,,
binary_output_vector[6],Output,PIN_C1,1,B1_N0,PIN_C1,,,,,
binary_output_vector[5],Output,PIN_E1,1,B1_N0,PIN_E1,,,,,
binary_output_vector[4],Output,PIN_F2,1,B1_N0,PIN_F2,,,,,
binary_output_vector[3],Output,PIN_H1,1,B1_N1,PIN_H1,,,,,
binary_output_vector[2],Output,PIN_J3,1,B1_N1,PIN_J3,,,,,
binary_output_vector[1],Output,PIN_J2,1,B1_N1,PIN_J2,,,,,
binary_output_vector[0],Output,PIN_J1,1,B1_N1,PIN_J1,,,,,
